104类题目编号;
1;Given a positive integer a, it is required to decompose into a product of several positive integers, ie a = a1 * a2 * a3 * ... * an, and 1 &lt; a1 &lt;= a2 &lt;= a3 &lt;= ... &lt;= an Ask how many kinds of decompositions are there. Note that a = a is also a decomposition.
2;It is assumed that the library has newly entered m (10 ≤ m ≤ 999) books, which are all independently or in collaboration with n (2 ≤ n ≤ 26) authors. Suppose m is the book number as an integer (1 to 999) and the author&#39;s name is the letter (&#39;A&#39; to &#39;Z&#39;). Please find out the author who participated in the most books and his book list based on the list of authors.
3;In a sequence of integers of length n (n &lt; 1000), it is judged whether or not there is a sum of two elements k.
4;Given an array of integer arrays of row rows and col columns, it is required to traverse the entire array from the upper left to the lower right diagonal order starting from the array[0][0] element. <img src="rtlb.gif">
5;In order to know the functional and structural similarity of a gene sequence, it is often necessary to compare several different sequences of DNA to determine whether the aligned DNA is relevant. It is now assumed that two DNA sequences of the same length are aligned, and when the ratio of the same bases in the corresponding positions is greater than a given value, it is concluded that the two DNA sequences are related, otherwise irrelevant.
6;Enter an integer matrix to calculate the sum of the elements at the edge of the matrix. The elements of the edge of the matrix are the elements of the first and last rows and the elements of the first and last columns.
7;First enter S as a string (length less than 256). Find the first occurrence of the substring in S, and then replace the substring with replacement. If there is no substring to find in S, no replacement is performed.
8;Please develop a top-down modular program for the following tasks: a) Read two arrays of integers whose elements are not sorted. b) Sort the array elements in ascending order. c) Merge the sorted arrays. d) Display the sorted list. Use functions to accomplish each of these tasks. Only function calls are included in the main function.
9;The patient registers for medical treatment and prepares a procedure to discharge the registered patients according to the following principles: 1. Older people aged &gt;= 60 years old are preferred to others. 2. The elderly are treated in order of age from the largest to the smallest, and the ages are sorted in the order of registration. 3. If the patient is &lt;60 years old, they are sorted in the order in which they were registered.
10;In order to defend against enemy missile attacks, a country developed a missile interception system. However, this missile interception system has a drawback: although its first projectile can reach any height, each shell cannot be higher than the previous one. One day, the radar captured the enemy&#39;s missiles and observed the height of the missiles coming in. Please calculate how many missiles the system can intercept. When intercepting incoming missiles, it is necessary to follow the sequence of incoming missile attacks. It is not allowed to intercept the missiles in the back and intercept the missiles in front.
11;Given a year, month, and day value, ask for the day of the year
12;Given 2 to 15 different positive integers, your task is to calculate how many pairs of numbers in the number are satisfied: one number in the pair is twice the number of the other. For example, given 1 4 3 2 9 7 18 22, the answer is 3, because 2 is twice the number of 1, 4 is twice twice, and 18 is twice as much as 9.
13;Enter n integers (n is entered by the user), each integer ranging from 10 to 100. These integers are output in the order of input, separated by spaces; if there are duplicate numbers, only the first one of the repeated numbers is output.
14;A class has STUDENT_NUM students. Please use &quot;Structure Type&quot; to write a program that is responsible for reading the student&#39;s ID number and language and math scores. Then calculate the total score for each classmate. Output the student number and total score of the top three students.
15;On a square grayscale image, the tumor is a rectangular area, and the pixel at the edge of the tumor is represented by 0 in the picture. Other intra- and extra-tumor points are indicated by 255. Now you are asked to write a program that counts the number of pixels inside the tumor (not including the points on the edge of the tumor). It is known that the edge of the tumor is parallel to the edge of the image.
16;Output an integer in reverse order. The range of integers is 0 to 10000, which does not exceed the range of int.
17;In a string (with a length not exceeding 100), there are left parentheses, right parentheses, and uppercase and lowercase letters; it is specified (as with the usual arithmetic expressions) that any one of the left parentheses is from the inside to the outside and is the closest to it. The right parenthesis matches. Write a program to find the left and right parentheses that cannot be matched: first output the original string, the next line is a line of the same length as the original string, mark the parentheses that cannot be matched, and the left parenthesis that cannot be matched is marked with &quot;$&quot; , the right parenthesis that cannot be matched is marked with &quot;?&quot;
18;Given a matrix of n*n (3&lt;=n&lt;=100, the values ​​of the elements are all non-negative integers). This matrix can be converted into a 1*1 matrix by performing the following process n-1 times. The process is as follows: First, the matrix is ​​zeroed: that is, for all elements on each row (or column), the minimum value on the row (or column) is subtracted from the original value to ensure subtraction. The resulting value is still a non-negative integer, and at least one element on this row (or column) has a value of 0. Then the matrix is ​​subtracted: the second row and the second column of the n*n matrix are deleted (if the two-dimensional array is a[][], the row and column where a[1][1] is deleted) , convert it to a matrix of (n-1)*(n-1). In the next process, the above process is performed on the generated (n-1)*(n-1) matrix. Obviously, after n-1 times of the above process, the matrix of n*n will be converted into a matrix of 1*1. The sum of the values ​​of a[1][1] before each subtraction is requested.
19;Enter a string to end with a carriage return (string length &lt;=100). The string consists of several words separated by a space and all words are case sensitive. Now you need to replace one of the words with another word and output the replaced string.
20;There are two strings str and substr, the number of str characters does not exceed 10, and the number of substr characters is 3. (The number of characters does not include the &#39;\0&#39; at the end of the string.) Insert the substr after the character with the largest ASCII code in str. If there are multiple maxes, only the first one is considered.
21;Enter n unsigned integers to find the integer that is the farthest from the average. If there are multiple different integers that are farthest from the average, then output the different integers from small to large, separated by commas. Where, the number n is not greater than 300. For example, there are 6 numbers: 3, 6, 7, 1, 5, 4, and the average value is 26/6=4.33, which is the largest difference from 1.
22;Find the next largest number from the unsigned integer sequence. The entered integers are separated by a comma (assuming an integer number of no more than 300, and each integer is no more than 4 digits). It is stipulated that the second largest number must be smaller than the maximum number. If there is no sub-large number (if only one number or all numbers are equal), then No is output; assume that there is at least one unsigned integer in the sequence.
23;Write a program, read a paragraph of English (not including punctuation in English), invert the order of all words and output them, where words are separated by spaces.
24;Enter 1 line of words (no more than 200 words), spaces and commas are the intervals between words, try to output the 1st longest word and the 1st shortest word. If all words are the same length, then the first word is both the longest word and the shortest word.
25;Any non-negative integer N (N &lt;= 100) is given arbitrarily, and the value of N&#39;s power of 2 is calculated.
26;There may be more than one space between each word in a sentence, filtering out extra spaces, leaving only one space
